Word,Frequency
officers,21
sits,2
depositing,2
tiresome,1
sinks,2
tragedies,4
impure,2
toyshop,2
robber,3
transgressor,2
chagrin,29
hastened,14
improving,6
disesteem,2
bethlem,2
wrapping,2
entrance,11
childhood,5
wreaths,2
confutation,2
scolded,2
pepin,2
perspective,3
fallacious,1
proclaims,2
puerility,1
hastening,5
slippery,2
mummy,2
pensioner,1
baggage,16
wooden,2
miscarry,4
negotiated,4
sting,2
sympathising,4
murder,8
wrong,12
tables,2
apothecary,37
comment,4
unalienable,2
trusted,5
materia,2
desist,4
glad,22
flexible,1
frivolous,2
regaling,2
restraint,15
ensued,16
purling,1
branded,1
humourist,2
clothed,2
caitiff,2
harps,2
deterred,5
hares,2
preferment,6
conclave,2
consigned,4
billiards,1
midwife,2
brakes,2
heres,4
gross,2
trundled,2
overawed,5
evading,2
footman,10
pardoning,2
struck,48
unfold,6
could,725
vile,10
traveller,8
occurrences,8
steward,2
penitent,10
malays,2
is,889
h,4
evils,8
appearing,8
orphan,42
troublesome,10
oblivion,4
level,4
tenant,4
apartments,8
punctuality,10
splendid,12
purchase,9
spaniards,6
shoulder,6
cease,6
swift,1
versed,4
feet,28
regale,2
rode,12
determined,85
illegitimate,2
updated,3
lump,3
rackand,2
organ,6
beggars,2
lansquenet,3
adventures,25
contribution,5
bath,3
books,7
dispensary,1
ruoad,2
eminently,3
resort,12
acknowledge,5
children,24
simple,16
contemplates,3
unquestionably,1
amicable,2
pile,2
juggler,2
divorces,2
regarded,12
vigorous,1
compressed,2
irksome,2
merchandise,6
vibration,2
magazine,4
diversion,8
decoyed,5
tender,65
divide,4
grandmothers,2
retreated,13
cooperate,4
repeated,61
flattens,2
reenjoying,1
embittered,8
justification,3
caparisons,1
fled,13
increasing,4
wish,38
rump,2
insuring,2
melodious,2
appellation,14
indignation,43
high,37
disinterested,3
transporting,7
noose,3
contend,2
attempts,19
gloomy,10
ally,9
debate,2
cud,2
countrywoman,1
sustenance,6
traces,5
victor,6
orlando,16
spark,4
benefactor,31
phillis,2
fiery,3
illusion,4
masculine,2
enchanted,3
patrimony,1
striking,5
redeemed,3
circle,6
aversion,8
victorious,4
consist,1
dependent,4
sweets,2
pillage,1
slippers,2
overtook,2
quickness,2
unfeelingly,1
merited,5
mercantile,2
tattered,4
cold,32
activity,5
ratchcali,26
looked,59
symphony,2
surveyed,9
deputed,2
yet,225
doubtful,4
subscribing,1
knocks,2
minds,10
concealing,6
damaged,2
fellowlodgers,7
surnamed,1
kennel,2
audible,4
industrious,12
irritated,1
antwerp,4
within,77
offensive,1
intermission,6
insufferable,3
ringlets,2
largely,2
thief,5
magnified,4
inspection,8
countries,15
guided,2
haunts,4
quotations,2
consequently,14
knowest,2
result,13
ruin,39
whimsical,4
mussulmen,1
serenade,2
trader,10
beautiful,8
determine,8
discussed,2
scipios,2
arcadian,2
lawyers,4
hyacinths,2
magnificent,14
cried,88
stopped,6
curse,2
prerogative,2
immense,12
luneville,2
disobedience,6
trice,3
uninjured,1
thou,68
stung,5
speech,18
modish,2
indubitable,4
fracas,4
scoundrel,1
perfect,38
screamed,4
vivacity,21
felony,6
ravings,2
mean,9
delectation,1
candid,3
ecod,2
chains,4
catullus,1
lads,1
depending,5
occasionally,15
become,46
practically,2
school,14
madness,10
loudest,1
transcription,3
extemporaneous,2
related,8
journey,37
imputed,16
mingling,1
expression,18
players,2
cheap,4
warmed,8
unsuccessful,8
prince,23
dearly,2
fathom,591
prepossesses,2
enslaved,5
melody,4
doubly,4
tyrannical,2
europe,14
smile,25
mouths,4
judge,28
pens,1
regular,16
riot,4
encourage,1
published,2
robbers,12
thackeray,1
ere,3
incident,11
gathered,9
prove,21
polite,32
steadfastly,2
shalloon,2
employer,4
prospect,56
pagan,2
hears,2
